# CD-14 mock instrument dump fixture: indices, top NSE stocks, one NFO expiry ladder (frozen, deterministic tokens)
instrument_token,exchange,tradingsymbol,name,instrument_type,segment,expiry,strike,lot_size,tick_size
256265,NSE,NIFTY 50,NIFTY 50,EQ,INDICES,,,1,0.05
260105,NSE,NIFTY BANK,NIFTY BANK,EQ,INDICES,,,1,0.05
264969,NSE,INDIA VIX,INDIA VIX,EQ,INDICES,,,1,0.05
100001,NSE,RELIANCE,RELIANCE,EQ,NSE,,,1,0.05
100002,NSE,TCS,TCS,EQ,NSE,,,1,0.05
100003,NSE,HDFCBANK,HDFCBANK,EQ,NSE,,,1,0.05
100004,NSE,ICICIBANK,ICICIBANK,EQ,NSE,,,1,0.05
100005,NSE,INFY,INFY,EQ,NSE,,,1,0.05
100006,NSE,BHARTIARTL,BHARTIARTL,EQ,NSE,,,1,0.05
100007,NSE,SBIN,SBIN,EQ,NSE,,,1,0.05
100008,NSE,LICI,LICI,EQ,NSE,,,1,0.05
100009,NSE,ITC,ITC,EQ,NSE,,,1,0.05
100010,NSE,HINDUNILVR,HINDUNILVR,EQ,NSE,,,1,0.05
100011,NSE,LT,LT,EQ,NSE,,,1,0.05
100012,NSE,BAJFINANCE,BAJFINANCE,EQ,NSE,,,1,0.05
100013,NSE,HCLTECH,HCLTECH,EQ,NSE,,,1,0.05
100014,NSE,MARUTI,MARUTI,EQ,NSE,,,1,0.05
100015,NSE,SUNPHARMA,SUNPHARMA,EQ,NSE,,,1,0.05
100016,NSE,ADANIENT,ADANIENT,EQ,NSE,,,1,0.05
100017,NSE,KOTAKBANK,KOTAKBANK,EQ,NSE,,,1,0.05
100018,NSE,TITAN,TITAN,EQ,NSE,,,1,0.05
100019,NSE,ONGC,ONGC,EQ,NSE,,,1,0.05
100020,NSE,TATAMOTORS,TATAMOTORS,EQ,NSE,,,1,0.05
100021,NSE,NTPC,NTPC,EQ,NSE,,,1,0.05
100022,NSE,AXISBANK,AXISBANK,EQ,NSE,,,1,0.05
100023,NSE,DMART,DMART,EQ,NSE,,,1,0.05
100024,NSE,ADANIGREEN,ADANIGREEN,EQ,NSE,,,1,0.05
100025,NSE,ADANIPORTS,ADANIPORTS,EQ,NSE,,,1,0.05
100026,NSE,ULTRACEMCO,ULTRACEMCO,EQ,NSE,,,1,0.05
100027,NSE,ASIANPAINT,ASIANPAINT,EQ,NSE,,,1,0.05
100028,NSE,COALINDIA,COALINDIA,EQ,NSE,,,1,0.05
100029,NSE,BAJAJFINSV,BAJAJFINSV,EQ,NSE,,,1,0.05
100030,NSE,POWERGRID,POWERGRID,EQ,NSE,,,1,0.05
100031,NSE,M&M,M&M,EQ,NSE,,,1,0.05
100032,NSE,NESTLEIND,NESTLEIND,EQ,NSE,,,1,0.05
100033,NSE,WIPRO,WIPRO,EQ,NSE,,,1,0.05
100034,NSE,IOC,IOC,EQ,NSE,,,1,0.05
100035,NSE,JIOFIN,JIOFIN,EQ,NSE,,,1,0.05
100036,NSE,HAL,HAL,EQ,NSE,,,1,0.05
100037,NSE,DLF,DLF,EQ,NSE,,,1,0.05
100038,NSE,JSWSTEEL,JSWSTEEL,EQ,NSE,,,1,0.05
100039,NSE,TATASTEEL,TATASTEEL,EQ,NSE,,,1,0.05
100040,NSE,SIEMENS,SIEMENS,EQ,NSE,,,1,0.05
100041,NSE,IRFC,IRFC,EQ,NSE,,,1,0.05
100042,NSE,VBL,VBL,EQ,NSE,,,1,0.05
100043,NSE,ZOMATO,ZOMATO,EQ,NSE,,,1,0.05
100044,NSE,PIDILITIND,PIDILITIND,EQ,NSE,,,1,0.05
100045,NSE,GRASIM,GRASIM,EQ,NSE,,,1,0.05
100046,NSE,HINDZINC,HINDZINC,EQ,NSE,,,1,0.05
100047,NSE,SBILIFE,SBILIFE,EQ,NSE,,,1,0.05
100048,NSE,BEL,BEL,EQ,NSE,,,1,0.05
100049,NSE,LTIM,LTIM,EQ,NSE,,,1,0.05
100050,NSE,TRENT,TRENT,EQ,NSE,,,1,0.05
