Company Name,Industry,Symbol,Series,ISIN Code
RELIANCE Limited,Mock Industry,RELIANCE,EQ,INE000001MOCK
TCS Limited,Mock Industry,TCS,EQ,INE000002MOCK
HDFCBANK Limited,Mock Industry,HDFCBANK,EQ,INE000003MOCK
ICICIBANK Limited,Mock Industry,ICICIBANK,EQ,INE000004MOCK
INFY Limited,Mock Industry,INFY,EQ,INE000005MOCK
BHARTIARTL Limited,Mock Industry,BHARTIARTL,EQ,INE000006MOCK
SBIN Limited,Mock Industry,SBIN,EQ,INE000007MOCK
LICI Limited,Mock Industry,LICI,EQ,INE000008MOCK
ITC Limited,Mock Industry,ITC,EQ,INE000009MOCK
HINDUNILVR Limited,Mock Industry,HINDUNILVR,EQ,INE000010MOCK
LT Limited,Mock Industry,LT,EQ,INE000011MOCK
BAJFINANCE Limited,Mock Industry,BAJFINANCE,EQ,INE000012MOCK
HCLTECH Limited,Mock Industry,HCLTECH,EQ,INE000013MOCK
MARUTI Limited,Mock Industry,MARUTI,EQ,INE000014MOCK
SUNPHARMA Limited,Mock Industry,SUNPHARMA,EQ,INE000015MOCK
ADANIENT Limited,Mock Industry,ADANIENT,EQ,INE000016MOCK
KOTAKBANK Limited,Mock Industry,KOTAKBANK,EQ,INE000017MOCK
TITAN Limited,Mock Industry,TITAN,EQ,INE000018MOCK
ONGC Limited,Mock Industry,ONGC,EQ,INE000019MOCK
TATAMOTORS Limited,Mock Industry,TATAMOTORS,EQ,INE000020MOCK
NTPC Limited,Mock Industry,NTPC,EQ,INE000021MOCK
AXISBANK Limited,Mock Industry,AXISBANK,EQ,INE000022MOCK
DMART Limited,Mock Industry,DMART,EQ,INE000023MOCK
ADANIGREEN Limited,Mock Industry,ADANIGREEN,EQ,INE000024MOCK
ADANIPORTS Limited,Mock Industry,ADANIPORTS,EQ,INE000025MOCK
ULTRACEMCO Limited,Mock Industry,ULTRACEMCO,EQ,INE000026MOCK
ASIANPAINT Limited,Mock Industry,ASIANPAINT,EQ,INE000027MOCK
COALINDIA Limited,Mock Industry,COALINDIA,EQ,INE000028MOCK
BAJAJFINSV Limited,Mock Industry,BAJAJFINSV,EQ,INE000029MOCK
POWERGRID Limited,Mock Industry,POWERGRID,EQ,INE000030MOCK
NESTLEIND Limited,Mock Industry,NESTLEIND,EQ,INE000031MOCK
WIPRO Limited,Mock Industry,WIPRO,EQ,INE000032MOCK
IOC Limited,Mock Industry,IOC,EQ,INE000033MOCK
JIOFIN Limited,Mock Industry,JIOFIN,EQ,INE000034MOCK
HAL Limited,Mock Industry,HAL,EQ,INE000035MOCK
DLF Limited,Mock Industry,DLF,EQ,INE000036MOCK
JSWSTEEL Limited,Mock Industry,JSWSTEEL,EQ,INE000037MOCK
TATASTEEL Limited,Mock Industry,TATASTEEL,EQ,INE000038MOCK
SIEMENS Limited,Mock Industry,SIEMENS,EQ,INE000039MOCK
IRFC Limited,Mock Industry,IRFC,EQ,INE000040MOCK
VBL Limited,Mock Industry,VBL,EQ,INE000041MOCK
ZOMATO Limited,Mock Industry,ZOMATO,EQ,INE000042MOCK
PIDILITIND Limited,Mock Industry,PIDILITIND,EQ,INE000043MOCK
GRASIM Limited,Mock Industry,GRASIM,EQ,INE000044MOCK
HINDZINC Limited,Mock Industry,HINDZINC,EQ,INE000045MOCK
SBILIFE Limited,Mock Industry,SBILIFE,EQ,INE000046MOCK
BEL Limited,Mock Industry,BEL,EQ,INE000047MOCK
LTIM Limited,Mock Industry,LTIM,EQ,INE000048MOCK
TRENT Limited,Mock Industry,TRENT,EQ,INE000049MOCK
HDFCLIFE Limited,Mock Industry,HDFCLIFE,EQ,INE000050MOCK
